# name	url	role	activation
superpowers	https://github.com/obra/superpowers	skills	default
taste-skill	https://github.com/Leonxlnx/taste-skill	skills	default
ponytail	https://github.com/DietrichGebert/ponytail	skills	default
spec-kit	https://github.com/github/spec-kit	cli	tooling
agent-skills	https://github.com/addyosmani/agent-skills	source	curated
skills	https://github.com/mattpocock/skills	source	curated
ECC	https://github.com/affaan-m/ECC	source	curated
anthropics-skills	https://github.com/anthropics/skills	marketplace	on-demand
Anthropic-Cybersecurity-Skills	https://github.com/mukul975/Anthropic-Cybersecurity-Skills	skills	on-demand
agency-agents	https://github.com/msitarzewski/agency-agents	agents	default
graphify	https://github.com/Graphify-Labs/graphify	cli	threshold
Skillspector	https://github.com/NVIDIA/Skillspector	cli	manual
awesome-claude-skills	https://github.com/ComposioHQ/awesome-claude-skills	index	reference
andrej-karpathy-skills	https://github.com/multica-ai/andrej-karpathy-skills	rules	reference
headroom	https://github.com/headroomlabs-ai/headroom	tool	on-demand
claude-code-security-review	https://github.com/anthropics/claude-code-security-review	tool	on-demand
OmniRoute	https://github.com/diegosouzapw/OmniRoute	tool	on-demand
code-on-incus	https://github.com/mensfeld/code-on-incus	tool	linux-only
VoiceStudio	https://github.com/debPalash/VoiceStudio	app-tool	stock
voicebox	https://github.com/jamiepine/voicebox	app-tool	stock
SCAIL-2	https://github.com/zai-org/SCAIL-2	app-tool	stock
